# Data file: ND_sample_1.dat
# Data row: 4 to 1003
# Bin width: 0.1
# Min: -2.95775, Max: 3.1494
# Number of bins: 58
# value count
-3	2
-2.9	1
-2.8	1
-2.6	2
-2.5	3
-2.4	1
-2.2	2
-2.1	5
-2	5
-1.9	9
-1.8	8
-1.7	14
-1.6	7
-1.5	13
-1.4	9
-1.3	12
-1.2	16
-1.1	16
-1	28
-0.9	26
-0.8	35
-0.7	30
-0.6	30
-0.5	36
-0.4	39
-0.3	38
-0.2	44
-0.1	41
0	51
0.1	41
0.2	36
0.3	42
0.4	37
0.5	25
0.6	31
0.7	28
0.8	27
0.9	30
1	25
1.1	26
1.2	21
1.3	15
1.4	15
1.5	10
1.6	7
1.7	10
1.8	13
1.9	10
2	5
2.1	6
2.2	6
2.3	1
2.4	3
2.5	1
2.6	1
2.7	1
2.9	1
3.1	2
