# Data file: mND_sample_1.dat
# Data row: 7 to 10006
# Bin width: 0.1
# Min: -3.82473, Max: 4.1063
# Number of bins: 75
# value count
-3.8	1
-3.3	1
-3.2	2
-3.1	1
-3	5
-2.9	2
-2.8	5
-2.7	14
-2.6	10
-2.5	15
-2.4	16
-2.3	21
-2.2	24
-2.1	28
-2	48
-1.9	55
-1.8	66
-1.7	78
-1.6	102
-1.5	99
-1.4	131
-1.3	136
-1.2	150
-1.1	215
-1	214
-0.9	233
-0.8	215
-0.7	257
-0.6	267
-0.5	302
-0.4	345
-0.3	359
-0.2	344
-0.1	359
0	382
0.1	375
0.2	377
0.3	389
0.4	317
0.5	354
0.6	352
0.7	323
0.8	290
0.9	297
1	272
1.1	288
1.2	220
1.3	200
1.4	186
1.5	190
1.6	170
1.7	131
1.8	126
1.9	102
2	85
2.1	82
2.2	79
2.3	46
2.4	40
2.5	47
2.6	31
2.7	22
2.8	28
2.9	19
3	13
3.1	9
3.2	11
3.3	4
3.4	12
3.5	4
3.6	2
3.7	2
3.8	1
3.9	1
4.1	1
